id,date,result
1,2024-10-08,102
2,2024-10-09,98
3,2024-10-10,101
4,2024-10-11,99
5,2024-10-12,103
6,2024-10-13,97
7,2024-10-14,100
8,2024-10-15,104
9,2024-10-16,96
10,2024-10-17,102
11,2024-10-18,101
12,2024-10-19,99
13,2024-10-20,100
14,2024-10-21,103
15,2024-10-22,97
16,2024-10-23,98
17,2024-10-24,104
18,2024-10-25,96
19,2024-10-26,102
20,2024-10-27,101
21,2024-10-28,99
22,2024-10-29,100
23,2024-10-30,103
24,2024-10-31,97
25,2024-11-01,98
26,2024-11-02,104
27,2024-11-03,96
28,2024-11-04,102
29,2024-11-05,101
30,2024-11-06,99
